,Date,Open,High,Low,Close,Volume
0,2022-01-01,1837.74,1860.0,1820.0,1843.5,64.92574667
1,2022-01-02,1843.5,1845.13,1828.86,1832.34,18.32893991
2,2022-01-03,1838.34,1845.66,1803.83,1810.15,73.25585534
3,2022-01-04,1810.15,1824.35,1793.76,1815.84,125.33311322
4,2022-01-05,1815.99,1836.79,1813.28,1814.65,162.16335583
5,2022-01-06,1814.64,1835.42,1787.5,1794.0,120.69829207
6,2022-01-07,1794.66,1808.27,1784.01,1802.53,95.06468528
7,2022-01-08,1802.94,1807.5,1789.5,1798.52,107.65542534
8,2022-01-09,1798.52,1815.0,1780.87,1798.0,102.35158951
9,2022-01-10,1794.21,1807.5,1778.89,1807.27,55.63814724
10,2022-01-11,1807.39,1824.35,1801.92,1823.6,21.54752457
11,2022-01-12,1824.35,1834.48,1820.34,1834.47,56.68686971
12,2022-01-13,1834.47,1835.42,1821.01,1825.53,48.99053042
13,2022-01-14,1829.1,1835.42,1823.05,1826.46,22.27293009
14,2022-01-15,1823.06,1832.77,1818.67,1824.3,23.69868161
15,2022-01-16,1824.3,1835.5,1806.97,1827.03,83.26834959
16,2022-01-17,1826.9,1828.44,1812.12,1819.09,20.71922528
17,2022-01-18,1822.99,1825.49,1813.12,1825.31,44.27401352
18,2022-01-19,1819.3,1858.0,1815.62,1846.9,55.78362859
19,2022-01-20,1846.9,1861.55,1838.0,1846.24,83.83623422
20,2022-01-21,1841.17,1911.27,1803.11,1839.05,280.78960273
21,2022-01-22,1844.34,1857.56,1810.0,1844.8,210.55661285
22,2022-01-23,1844.81,1860.19,1835.42,1840.92,98.87964654
23,2022-01-24,1840.92,1861.03,1837.0,1854.4,175.22480745
24,2022-01-25,1852.5,1865.07,1842.57,1864.43,165.11061232
25,2022-01-26,1859.05,1868.63,1822.07,1848.4,188.53986062
26,2022-01-27,1848.4,1860.57,1799.09,1814.28,177.84858178
27,2022-01-28,1814.02,1823.6,1800.72,1804.01,204.3372745
28,2022-01-29,1804.01,1815.88,1797.0,1806.35,62.31626197
29,2022-01-30,1806.43,1824.35,1796.0,1802.01,122.86483863
30,2022-01-31,1802.0,1810.6,1782.0,1810.55,90.43533708
31,2022-02-01,1804.72,1816.55,1786.98,1805.23,66.25965113
32,2022-02-02,1804.11,1830.0,1790.0,1808.12,122.59845969
33,2022-02-03,1810.55,1822.22,1794.83,1811.0,92.26450146
34,2022-02-04,1811.0,1856.0,1803.84,1817.81,163.55493009
35,2022-02-05,1823.87,1846.76,1805.0,1815.3,132.00862309
36,2022-02-06,1815.31,1859.0,1810.0,1821.6,143.2454308
37,2022-02-07,1816.53,1828.58,1809.09,1823.01,80.1809941
38,2022-02-08,1828.42,1846.58,1811.1,1831.34,133.00275444
39,2022-02-09,1831.34,1840.03,1827.0,1837.7,53.37550294
40,2022-02-10,1832.64,1849.34,1823.6,1831.32,110.32115615
41,2022-02-11,1831.32,1896.0,1820.0,1875.66,289.99106958
42,2022-02-12,1875.66,1926.72,1852.49,1889.33,491.32897359
43,2022-02-13,1882.8,1910.64,1872.56,1883.69,248.0264858
44,2022-02-14,1883.69,1920.96,1868.63,1884.67,261.34337008
45,2022-02-15,1884.67,1919.19,1850.0,1857.09,349.96937154
46,2022-02-16,1852.15,1883.38,1841.6,1874.4,157.74225076
47,2022-02-17,1879.69,1961.06,1870.0,1920.07,437.04820598
48,2022-02-18,1920.07,1936.74,1890.0,1916.0,372.77374387
49,2022-02-19,1910.46,1934.12,1908.3,1916.51,120.95066151
50,2022-02-20,1916.51,1959.0,1910.08,1931.34,313.82910818
51,2022-02-21,1934.33,1983.22,1897.88,1960.59,388.87595652
52,2022-02-22,1960.59,1989.15,1910.0,1910.0,302.13307008
53,2022-02-23,1915.86,1937.99,1890.0,1925.59,242.08450898
54,2022-02-24,1924.9,2170.0,1890.0,1928.35,2567.40736804
55,2022-02-25,1927.35,1943.15,1885.12,1894.98,507.09303311
56,2022-02-26,1897.68,1904.54,1870.0,1893.33,332.89558121
57,2022-02-27,1890.18,1936.12,1880.99,1915.37,387.94275446
58,2022-02-28,1913.64,1933.43,1868.13,1893.2,457.9269638
59,2022-03-01,1893.2,1938.8,1881.0,1932.55,416.9070036
60,2022-03-02,1932.54,1940.84,1910.0,1924.22,183.52909082
61,2022-03-03,1921.07,1949.28,1910.0,1936.59,273.44657903
62,2022-03-04,1936.57,1977.88,1923.51,1971.82,398.93013876
63,2022-03-05,1968.73,2004.51,1962.75,1978.31,274.61286223
64,2022-03-06,1978.31,2023.66,1965.81,2000.07,257.35184561
65,2022-03-07,1999.34,2100.0,1972.25,2014.54,1480.13573479
66,2022-03-08,2014.54,2090.0,1991.96,2063.78,755.00972117
67,2022-03-09,2063.77,2073.0,1985.0,1994.99,1140.99663368
68,2022-03-10,1990.97,2061.11,1972.2,1994.51,985.80685805
69,2022-03-11,1997.4,2006.23,1965.68,1984.0,271.97041699
70,2022-03-12,1984.3,2018.55,1979.99,1998.51,243.97108679
71,2022-03-13,1998.69,2012.72,1980.29,1986.49,241.9883304
72,2022-03-14,1984.01,1997.56,1954.93,1962.29,340.63532598
73,2022-03-15,1959.98,1960.07,1890.0,1925.01,591.43008167
74,2022-03-16,1921.14,1938.27,1900.1,1938.27,350.19413987
75,2022-03-17,1938.26,1961.68,1936.0,1947.81,233.39553795
76,2022-03-18,1948.07,1954.51,1914.99,1923.07,348.46737849
77,2022-03-19,1923.06,1927.11,1908.66,1918.72,228.41237911
78,2022-03-20,1915.73,1927.22,1909.0,1924.46,278.96439829
79,2022-03-21,1924.93,1943.09,1920.6,1936.59,180.92626508
80,2022-03-22,1935.23,1943.79,1909.17,1917.48,285.35608676
81,2022-03-23,1915.74,1950.9,1914.38,1946.92,272.22417173
82,2022-03-24,1947.07,1977.1,1934.24,1960.0,448.65524066
83,2022-03-25,1962.33,1966.47,1947.0,1958.08,171.27590169
84,2022-03-26,1955.55,1976.84,1955.09,1964.35,105.45203609
85,2022-03-27,1964.35,1982.37,1946.78,1952.55,135.50858487
86,2022-03-28,1952.63,1952.63,1909.59,1923.0,1239.81952381
87,2022-03-29,1925.39,1926.15,1890.29,1917.09,537.9992191
88,2022-03-30,1916.18,1935.0,1915.7,1929.14,247.42161878
89,2022-03-31,1929.61,1947.68,1920.05,1933.63,259.13619343
90,2022-04-01,1933.63,1949.51,1911.58,1923.05,298.59631459
91,2022-04-02,1921.9,1924.93,1910.58,1919.48,184.85026553
92,2022-04-03,1919.42,1926.05,1912.61,1919.57,120.78365909
93,2022-04-04,1919.68,1940.72,1919.55,1931.54,163.40645572
94,2022-04-05,1931.41,1935.22,1860.19,1914.83,368.41562214
95,2022-04-06,1916.44,1928.99,1909.34,1921.62,215.25080237
96,2022-04-07,1921.31,1938.0,1919.22,1930.65,129.4887232
97,2022-04-08,1928.32,1952.5,1924.96,1944.93,157.87260444
98,2022-04-09,1944.9,1957.51,1940.55,1946.76,128.36956169
99,2022-04-10,1946.63,1953.14,1940.52,1941.4,94.78458115
100,2022-04-11,1941.55,1977.97,1939.2,1956.19,430.3858135
101,2022-04-12,1957.32,1980.0,1948.98,1970.69,416.66828461
102,2022-04-13,1971.04,1994.04,1966.71,1983.72,515.34978515
103,2022-04-14,1982.24,1983.72,1964.21,1977.25,302.8536076
104,2022-04-15,1975.07,1983.45,1970.95,1983.26,108.73825008
105,2022-04-16,1981.01,1990.0,1981.0,1982.99,96.81083909
106,2022-04-17,1981.32,1999.5,1978.88,1988.62,256.5526741
107,2022-04-18,1988.11,2022.0,1975.05,1978.56,405.73937239
108,2022-04-19,1979.37,1987.68,1960.0,1960.0,261.08842715
109,2022-04-20,1961.48,1979.0,1950.9,1964.93,450.03788265
110,2022-04-21,1964.82,1967.74,1933.22,1959.47,198.06214587
111,2022-04-22,1957.39,1965.12,1932.05,1933.31,151.03985214
112,2022-04-23,1933.32,1937.99,1930.19,1932.03,216.20271086
113,2022-04-24,1931.82,1938.6,1930.76,1934.01,75.01084836
114,2022-04-25,1934.3,1938.01,1890.0,1911.33,436.32659341
115,2022-04-26,1911.18,1918.8,1897.81,1906.96,208.70573041
116,2022-04-27,1908.28,1914.77,1885.88,1893.32,158.5520332
117,2022-04-28,1893.36,1905.0,1883.0,1898.94,166.07937308
